1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
2 15 3 2 3 3 2 17 3 6 1 1
4 1 2 1 11 3 3 22 3 6 2 8
5 18 4 5 2 3 2 3 3 6 4 12
4 1 4 1 2 3 3 3 3 6 4 15
1 1 1 1 1 4 2 7 3 6 8 14
2 10 3 4 12 4 2 5 3 6 1 1
1 1 1 1 1 1 2 2 3 6 3 2
4 1 3 4 3 3 3 15 3 6 3 1
1 1 1 1 1 1 2 9 3 6 8 17
3 6 2 5 12 3 3 3 4 6 4 8
1 1 1 1 1 1 2 8 3 6 1 1
2 1 2 2 4 5 2 38 3 6 1 1
2 1 2 4 1 3 3 20 3 6 3 8
5 1 2 5 1 2 2 3 3 6 1 1
4 1 2 2 8 3 3 3 3 6 3 2
3 8 4 5 3 3 3 23 3 6 9 1
